station_name,available_bikes
W 64 St & West End Ave,2
W 84 St & Broadway,2
Riverside Dr & W 78 St,4
Park Ave & Marcus Garvey Blvd,7
Brooklyn Bridge Park - Pier 2,5
Yankee Ferry Terminal,29
Exchange Place,11
Paulus Hook,5
City Hall,12
Grove St PATH,26
Warren St,1
NJCU,7
West Side Light Rail,9
Garfield Ave Station,3
Union St,8
Liberty Light Rail,5
Lincoln Park,4
McGinley Square,4
Sip Ave,20
Riverview Park,1
Heights Elevator,16
Newport Pkwy,8
MLK Light Rail,5
Dey St,6
Newport PATH,0
Hamilton Park,10
JC Medical Center,8
Hilltop,5
Oakland Ave,4
Brunswick St,4
Pershing Field,7
Newark Ave,2
Christ Hospital,9
Van Vorst Park,1
Essex Light Rail,4
Journal Square,2
Columbia Park,3
Bayside Park,5
5 Corners Library,10
47 Ave & 31 St,17
E 55 St & 3 Ave,19
W 13 St & Hudson St,22
Baldwin at Montgomery,6
W 82 St & Central Park West,4
E 67 St & Park Ave,1
Bond St & Fulton St,11
E 48 St & 5 Ave,18
E 41 St & Madison Ave,27
W 42 St & Dyer Ave,10
E 80 St & 2 Ave,2
Monroe St & Tompkins Ave,2
Schermerhorn St & Court St,32
E 58 St & 1 Ave,0
University Pl & E 8 St,1
Verona Pl & Fulton St,2
Soissons Landing,5
8 Ave & W 31 St,9
Pier 40 - Hudson River Park,7
W 27 St & 10 Ave,31
9 Ave & W 28 St,7
Mercer St & Bleecker St,25
Cooper Square & E 7 St,7
Morris Canal,9
Lafayette Park,3
Brunswick & 6th,7
Jersey & 6th St,3
Danforth Light Rail,9
Jersey & 3rd,5
Manila & 1st,0
Bethune Center,5
Columbus Drive,6
Marin Light Rail,2
Communipaw & Berry Lane,3
Monmouth and 6th,0
Dixon Mills,9
Astor Place,6
Leonard Gordon Park,6
5 Ave & E 88 St,7
W 89 St & Columbus Ave,3
E 88 St & Park Ave,2
W 87 St  & Amsterdam Ave,2
E 89 St & 3 Ave,1
E 88 St & 1 Ave,0
W 90 St & Amsterdam Ave,0
E 89 St & York Ave,0
5 Ave & E 93 St,0
W 92 St & Broadway,1
E 91 St & Park Ave,0
Central Park W & W 96 St,1
E 93 St & 2 Ave,0
6 St & 7 Ave,0
Warren St & Court St,14
Coming Soon: E 98 St & Lexington Ave,0
Prospect Park West & 8 St,0
Columbus Ave & W 95 St,8
Columbus Ave & W 103 St,2
Butler St & Court St,13
6 Ave & 9 St,0
E 91 St & 2 Ave,6
10 St & 7 Ave,0
West End Ave & W 94 St,2
Kane St & Clinton St,0
E 97 St & 3 Ave,0
14 St & 7 Ave,2
Columbia St & Kane St,11
1 Ave & E 94 St,15
6 Ave & 12 St,0
W 95 St & Broadway,0
Henry St & Degraw St,5
W 104 St & Amsterdam Ave,3
10 St & 5 Ave,2
2 Ave & E 96 St,22
14 St & 5 Ave,0
Central Park West & W 100 St,2
Clinton St & Union St,1
12 St & 4 Ave,3
W 106 St & Central Park West,2
3 Ave & 14 St,22
E 95 St & 3 Ave,0
Clinton St & Centre St,19
3 Ave & E 100 St,2
W 100 St & Manhattan Ave,0
Degraw St & Smith St,8
Henry St & Bay St,18
Riverside Dr & W 104 St,2
Degraw St & Hoyt St,1
Columbia St & Lorraine St,20
Union St & 4 Ave,20
E 97 St & Madison Ave,4
Dwight St & Van Dyke St,14
2 Ave & E 99 St,0
